freq;na_item;unit;country;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
A;B1GQ;CP_EUR_HAB;AL;3300;3320;3450;3560;3730;4020;4480;4820;4690;5390;: ;: 
A;B1GQ;CP_EUR_HAB;AT;37570;37890;38640;39640;40690;41760;43360;44570;42650;45380;49490;51830
A;B1GQ;CP_EUR_HAB;BE;34930;35360;36130;36860;37810;38980;40210;41730;40190;43670;48250;50660 p
A;B1GQ;CP_EUR_HAB;BG;5820;5870;6080;6560;7070;7720;8360;9270;9450;10970;13310;14690
A;B1GQ;CP_EUR_HAB;CH;66790;65730;66920;75460;74200;72810;72120;75110;75280;79140;89660 p;92760 p
A;B1GQ;CP_EUR_HAB;CY;22570;20930;20510;21220;22330;23630;25060;26530;25080;28520;32230;33800 p
A;B1GQ;CP_EUR_HAB;CZ;15590;15280;15140;16230;17040;18700;20270;21740;20980;23430;26670;29180
A;B1GQ;CP_EUR_HAB;DE;34820;35550;36860;37770;38810;40300;41390;42540;41480;44190 p;47180 p;49520 p
A;B1GQ;CP_EUR_HAB;DK;45490;46240;47070;47900;49270;51060;51950;53040;53540;58970;64730;63290
A;B1GQ;CP_EUR_HAB;EA19;29470;29730;30400;31370;32130;33260;34270;35310;33740;36610;39630;41860
A;B1GQ;CP_EUR_HAB;EA20;29230;29490;30150;31120;31870;33010;34020;35070;33500;36360;39380;41610
A;B1GQ;CP_EUR_HAB;EE;13650;14520;15480;16000;16860;18480;20040;21490;20960;23650;27360;27960
A;B1GQ;CP_EUR_HAB;EL;16830;16240;16160;16210;16190;16490;16830;17270;15660;17350;19650 p;21350 p
A;B1GQ;CP_EUR_HAB;ES;22160;22020;22380;23440;24190;25160;25950;26620;23850;26090;28750 p;30970 p
A;B1GQ;CP_EUR_HAB;EU27_2020;25980;26250;26830;27770;28460;29600;30580;31640;30440 b;33180;35990;38130
A;B1GQ;CP_EUR_HAB;FI;37010;37410;37690;38350;39250;40790;42040;43200;42740;44890;47890;49000
A;B1GQ;CP_EUR_HAB;FR;31950;32280;32620;33200;33530;34290;35080;36090;34280;36950;39010 p;41330 p
A;B1GQ;CP_EUR_HAB;HR;10510;10530;10450;10810;11400;12160;12960;13990;12840;14890;17260;19800 p
A;B1GQ;CP_EUR_HAB;HU;10090 b;10350;10810;11520;11950;13080;14070;15200;14370;16090;17600;20500 p
A;B1GQ;CP_EUR_HAB;IE;38480;39650;43160;58040;58120;63990;68470;73210;75920;88220;100180;96290
A;B1GQ;CP_EUR_HAB;IS;36500;38180;41920;48680;57100;64980;64310;62660;53190;60400;73930;76350
A;B1GQ;CP_EUR_HAB;IT;27130;26880;27120;27620;28360;29070;29690;30200;28100;31160;33840;36070
A;B1GQ;CP_EUR_HAB;LI;: ;128380;133180;148440;147270;148690;146100;146830;142470;164150 p;172900 e;: 
A;B1GQ;CP_EUR_HAB;LT;11120;11780;12400;12860;13490;14870;16300;17520;17890;20180;23820;25700
A;B1GQ;CP_EUR_HAB;LU;87540;90030;92760;95090;96230;97440;98750;100450;102230;112860;118310;118770
A;B1GQ;CP_EUR_HAB;LV;10460;10930;11430;12010;12500;13400;14620;15450;15370;17130;19140;20770
A;B1GQ;CP_EUR_HAB;ME;5130;5410;5560;5870;6350;6910;7490;7960;6740;8000;9600;11000 p
A;B1GQ;CP_EUR_HAB;MK;3930 e;4240 e;4470 e;4740 e;5070 e;5290 e;5690 e;6000 e;5850 e;6440 e;7230 e;: 
A;B1GQ;CP_EUR_HAB;MT;17820;19120;20620;23000;23900;26820;28240;28920;27840;32170;34290;37300
A;B1GQ;CP_EUR_HAB;NL;39290;39610;40240;41270;42290;43830;45690;47840;46810;50850;56140 p;59720 p
A;B1GQ;CP_EUR_HAB;NO;79510;77920;73670;67390;64060;67520;70150;68270;60020;78670;103540;80970
A;B1GQ;CP_EUR_HAB;PL;10190;10260;10750;11390;11270;12360;13280;14190;14310 b;15770;17520 b;19900
A;B1GQ;CP_EUR_HAB;PT;16000;16300;16620;17280;18000;18910;19840;20710;19360;20800;23300;25280 e
A;B1GQ;CP_EUR_HAB;RO;6940;7150;7560;8090;8500;9510;10580;11590;11460;12660;14790;17020 p
A;B1GQ;CP_EUR_HAB;RS;4870;5300;5190;5250;5410;5820;6400;6930;7110;8180;9530;11350 p
A;B1GQ;CP_EUR_HAB;SE;44960;45820;44930;46170;46860;47290;45910;46240;46250;51710;52490;51040
A;B1GQ;CP_EUR_HAB;SI;17470;17500;18080;18660;19380;20630;21940;23050;22230;24680;26980;30160
A;B1GQ;CP_EUR_HAB;SK;13640;13790;14130;14820;15030;15620;16580;17340;17270;18740 b;20170;22520
A;B1GQ;CP_EUR_HAB;TR;9090;9450;9160;9930;9910;9470;8090;8220;7520;8200;10150;12080
A;B1GQ;CP_EUR_HAB;UK;33140;32700;35780;40620;37080;35730;36440;37830;: ;: ;: ;: 
A;B1GQ;CP_MEUR;AL;9585.8;9625.4;9968.6;10264.1;10719.9;11559.0;12828.1;13754.2;13310.4;15157.4;17972.3 p;21255.4 e
A;B1GQ;CP_MEUR;AT;316589.4;321191.7;330113.5;342083.5;355665.6;367294.9;383234.3;395706.8;380317.9;406232.1;448007.4;473226.7
A;B1GQ;CP_MEUR;BA;13407.5;13691.8;13988.3;14791.1 b;15474.3;16260.5;17354.2;18296.5;17755.9;20014.7;23324.1;25026.6
A;B1GQ;CP_MEUR;BE;387934.9;394616.3;404958.3;415538.0;428467.1;443407.2;459491.8;479444.9;463750.9;506023.2;563543.6;596320.6 p
A;B1GQ;CP_MEUR;BG;42255.3;42056.2;43024.7;45797.8;48752.1;52501.8;56131.3;61308.2;61912.5;71378.4;86082.4;94709.3
A;B1GQ;CP_MEUR;CH;534012.8;531729.1;548014.5;625532.7;621765.1;615776.3;614304.4;644443.2;650742.6;689174.9;787386.5 p;826951.8 p
A;B1GQ;CP_MEUR;CY;19495.4;18040.3;17482.8;17944.2;19013.8;20312.4;21807.8;23400.9;22373.6;25680.1;29415.7;31340.0 p
A;B1GQ;CP_MEUR;CZ;163759.4;160470.0;158991.5;170527.3;179145.9;196738.7;213505.4;229406.7;220310.6;246012.3;286976.8;317387.0
A;B1GQ;CP_MEUR;DE;2800380.0;2867280.0;2985170.0;3085650.0;3196110.0;3331110.0;3431130.0;3534880.0;3449620.0;3676460.0 p;3953850.0 p;4185550.0 p
A;B1GQ;CP_MEUR;DK;254300.7;259530.9;265635.7;272193.0;282265.1;294355.0;301017.3;308546.2;312118.3;345236.0;382309.3;376430.0
A;B1GQ;CP_MEUR;EA19;9907755.2;10013381.3;10254975.4;10615103.7;10906041.2;11316197.6;11690781.5;12082055.1;11564471.6;12554514.6;13656396.8;14516552.6
A;B1GQ;CP_MEUR;EA20;9952625.9;10058185.2;10299260.0;10660596.8;10953618.4;11366404.9;11743817.0;12137823.7;11615192.5;12612908.7;13724008.3;14594601.1
A;B1GQ;CP_MEUR;EE;18086.6;19163.2;20365.6;21010.9;22189.0;24316.1;26438.5;28472.1;27859.3;31456.2;36442.8;38187.8
A;B1GQ;CP_MEUR;EL;185899.2;178113.9;176071.8;175362.9;174448.2;177378.5;180615.7;185181.2;167539.5;184574.6;207854.2 p;225196.9 p
A;B1GQ;CP_MEUR;ES;1035964.0;1025652.0;1038949.0;1087112.0;1122967.0;1170024.0;1212276.0;1253710.0;1129214.0;1235474.0;1373629.0 p;1498324.0 p
A;B1GQ;CP_MEUR;EU27_2020;11467792.3;11595373.5;11868132.2;12307167.4;12640498.4;13168340.4;13628365.8;14122990.7;13580272.9;14794356.4;16143727.6;17193752.9
A;B1GQ;CP_MEUR;FI;200378.0;203497.0;205855.0;210192.0;215717.0;224706.0;231905.0;238518.0;236387.0;248764.0;266124.0;273320.0
A;B1GQ;CP_MEUR;FR;2088286.7;2120351.9;2153733.1;2201401.6;2231819.2;2291680.5;2355362.8;2432206.8;2318276.2;2508102.3;2655435.0 p;2822454.6 p
A;B1GQ;CP_MEUR;HR;44870.7;44803.9;44284.6;45493.1;47577.2;50207.3;53035.5;55768.6;50720.9;58394.1;67611.5;78048.5 p
A;B1GQ;CP_MEUR;HU;99979.9;102210.9;106335.3;112854.0;116593.5;127222.5;136580.0;147373.2;138954.5;154962.0;169096.1;196639.0 p
A;B1GQ;CP_MEUR;IE;176893.6;183192.7;200818.3;272544.3;276205.9;308522.8;334865.7;363674.9;382207.1;449216.5;520935.3;509951.8
A;B1GQ;CP_MEUR;IS;11479.9;12132.9;13472.6;15795.3;18804.2;21917.7;22238.3;22043.3;18948.0;21841.7;27362.4;28975.3
A;B1GQ;CP_MEUR;IT;1632898.5;1621260.7;1635870.7;1663277.7;1704856.7;1744493.0;1777744.4;1804066.8;1670011.9;1842507.4;1997054.9;2128001.4
A;B1GQ;CP_MEUR;LI;: ;4812.4;5021.7;5649.1;5637.7;5734.6;5666.3;5750.1;5618.0;6517.5 p;6996.1 e;: 
A;B1GQ;CP_MEUR;LT;33240.4;34874.0;36410.1;37440.7;38820.7;42274.6;45947.4;49239.2;50264.6;56679.7;67455.5;73792.8
A;B1GQ;CP_MEUR;LU;46526.2;49094.5;51791.3;54142.3;56208.1;58168.8;60121.2;62431.5;64524.3;72360.9;77529.0;79309.6
A;B1GQ;CP_MEUR;LV;21270.9;21997.0;22790.5;23744.3;24498.2;26017.1;28153.4;29567.0;29224.3;32285.3;36103.7;39072.5
A;B1GQ;CP_MEUR;ME;3181.5;3362.5;3457.9;3654.5;3954.2;4299.1;4663.1;4950.7;4185.6;4955.1;5924.0;6963.6
A;B1GQ;CP_MEUR;MK;7584.8;8149.6;8562.0;9072.3;9656.5;10038.3;10744.0;11262.0;10851.7;11834.7;13243.2;14582.7 p
A;B1GQ;CP_MEUR;MT;7479.5;8129.4;8948.5;10221.4;10864.3;12535.7;13678.6;14594.2;14346.0;16671.9;18242.3;20650.4
A;B1GQ;CP_MEUR;NL;658232.0;665567.0;678627.0;699175.0;720175.0;750861.0;787273.0;829767.0;816463.0;891550.0;993820.0;1067599.0
A;B1GQ;CP_MEUR;NO;399069.2;395856.8;378456.4;349756.7;335396.5;356288.5;372657.6;365130.5;322823.8;425445.6;565021.9;448716.8
A;B1GQ;CP_MEUR;PL;387660.3;390177.0;408714.7;432485.8;427658.6;469071.2;503951.0;538423.5;531827.4;583001.4;661712.3;748923.4
A;B1GQ;CP_MEUR;PT;168538.8;170675.6;173186.7;179392.7;186380.7;195509.1;204997.6;214489.9;201032.7;216493.7;243957.1;267384.3 e
A;B1GQ;CP_MEUR;RO;139307.7;142936.0;150528.8;160289.0;167497.1;186399.2;206201.2;224767.4;221075.5;242260.4;281761.4;324368.6 p
A;B1GQ;CP_MEUR;RS;35074.4;37978.2;37014.0;37219.6;38164.7;40828.4;44710.6;48104.5;49024.2;55931.3;63501.1;75204.0 p
A;B1GQ;CP_MEUR;SE;427903.2;439807.4;435641.4;452423.7;464967.6;475647.1;467162.6;475341.9;478881.6;538597.2;551781.0;540694.6
A;B1GQ;CP_MEUR;SI;35933.6;36041.3;37270.9;38493.9;40013.2;42625.5;45462.4;48156.5;46738.7;52022.6;56908.8;63951.2
A;B1GQ;CP_MEUR;SK;73727.6;74642.7;76562.3;80376.3;81621.6;84960.4;90275.9;94547.5;94320.6;101960.0;110088.6;122918.9
A;B1GQ;CP_MEUR;TR;683587.2;719726.5;707000.9;777042.1;785619.0;760497.0;658963.5;679135.9;626785.4;690246.0;862309.9;1030513.6
A;B1GQ;CP_MEUR;UK;2111028.9;2096338.0;2311080.2;2644716.5;2434119.2;2359789.9;2420897.2;2526615.2;: ;: ;: ;: 
A;B1GQ;CP_MEUR;XK;4797.3;5071.3;5325.1;5674.4;6037.3;6356.5;6671.5;7056.2;6771.6;7957.9;8895.7;9680.1 p
